1;Толстой Лев Николаевич;+79010000001, +79010000011;
2;Пушкин Александр Сергеевич;+79010000002;
3;Лермонтов Михаил Юрьевич;+79010000003, +79010000033, +79010000333;
4;Фонвизин Денис Иванович;+79010000004;
5;Карамзин Николай Михайлович;+79010000005, +79010000055;
6;Тургенев Иван Сергеевич;+79010000006, +79010000066;
7;Достоевский Фёдор Михайлович;+79010000007, +79010000077;
8;Чехов Антон Павлович;+79010000008, +79010000088;
9;Гоголь Николай Васильевич;+79010000009, +79010000099, +79010000999;
10;Салтыков-Щедрин Михаил Евграфович;+79010000010, +79010000110;
